"year" "sex" "age" "population"
2040 "female" "55-59" 9687.1
2040 "female" "60-64" 8833.3
2040 "female" "65-69" 7746.4
2040 "female" "70-74" 6093.9
2040 "female" "75+" 7607.4
2041 "male" "0-4" 11134.5
2041 "male" "5-9" 11149.5
2041 "male" "10-14" 11139.4
2041 "male" "15-19" 11025.3
2041 "male" "20-24" 10889.3
2041 "male" "25-29" 10899.6
2041 "male" "30-34" 10899.7
2041 "male" "35-39" 10765.5
2041 "male" "40-44" 10628.4
2041 "male" "45-49" 10489.6
2041 "male" "50-54" 10203.5
2041 "male" "55-59" 9655.7
2041 "male" "60-64" 8610.7
2041 "male" "65-69" 7298.3
2041 "male" "70-74" 5501.9
2041 "male" "75+" 6160.5
2041 "female" "0-4" 10862.9
2041 "female" "5-9" 10888.5
2041 "female" "10-14" 10889.8
2041 "female" "15-19" 10797.7
2041 "female" "20-24" 10699.4
2041 "female" "25-29" 10562.9
2041 "female" "30-34" 10571.4
2041 "female" "35-39" 10579.5
2041 "female" "40-44" 10497.6
2041 "female" "45-49" 10346.8
2041 "female" "50-54" 10073.4
2041 "female" "55-59" 9734.9
2041 "female" "60-64" 8947.7
2041 "female" "65-69" 7861.3
2041 "female" "70-74" 6260
2041 "female" "75+" 7915.5
2042 "male" "0-4" 11128
2042 "male" "5-9" 11144.4
2042 "male" "10-14" 11144.6
2042 "male" "15-19" 11046.7
2042 "male" "20-24" 10874.2
2042 "male" "25-29" 10878.5
2042 "male" "30-34" 10882.6
2042 "male" "35-39" 10784.6
2042 "male" "40-44" 10630.2
2042 "male" "45-49" 10488.2
2042 "male" "50-54" 10227.2
2042 "male" "55-59" 9703.3
2042 "male" "60-64" 8720.1
2042 "male" "65-69" 7393.1
2042 "male" "70-74" 5648.9
2042 "male" "75+" 6383.9
2042 "female" "0-4" 10856.1
2042 "female" "5-9" 10882.6
2042 "female" "10-14" 10894
2042 "female" "15-19" 10817.1
2042 "female" "20-24" 10682.6
2042 "female" "25-29" 10586.6
2042 "female" "30-34" 10538
2042 "female" "35-39" 10569.9
2042 "female" "40-44" 10496.8
2042 "female" "45-49" 10369.5
2042 "female" "50-54" 10096.7
2042 "female" "55-59" 9762.9
2042 "female" "60-64" 9057.5
2042 "female" "65-69" 7968.6
2042 "female" "70-74" 6420.5
2042 "female" "75+" 8224.6
2043 "male" "0-4" 11122.5
2043 "male" "5-9" 11138.2
2043 "male" "10-14" 11146.9
2043 "male" "15-19" 11064.6
2043 "male" "20-24" 10871.3
2043 "male" "25-29" 10857
2043 "male" "30-34" 10859
2043 "male" "35-39" 10804.7
2043 "male" "40-44" 10631.5
2043 "male" "45-49" 10486.4
2043 "male" "50-54" 10245.8
2043 "male" "55-59" 9740.4
2043 "male" "60-64" 8827.5
2043 "male" "65-69" 7479.5
2043 "male" "70-74" 5789.3
2043 "male" "75+" 6606.3
2043 "female" "0-4" 10850.4
2043 "female" "5-9" 10876
2043 "female" "10-14" 10895.7
2043 "female" "15-19" 10833.2
2043 "female" "20-24" 10677.7
2043 "female" "25-29" 10612.1
2043 "female" "30-34" 10504.7
2043 "female" "35-39" 10552.6
2043 "female" "40-44" 10495.1
2043 "female" "45-49" 10384.1
2043 "female" "50-54" 10124.9
2043 "female" "55-59" 9779.1
2043 "female" "60-64" 9163.3
2043 "female" "65-69" 8065.8
2043 "female" "70-74" 6573.1
2043 "female" "75+" 8533.5
2044 "male" "0-4" 11118.5
2044 "male" "5-9" 11131.7
2044 "male" "10-14" 11147
2044 "male" "15-19" 11079.1
2044 "male" "20-24" 10880.4
2044 "male" "25-29" 10829.8
2044 "male" "30-34" 10842.8
2044 "male" "35-39" 10811.4
2044 "male" "40-44" 10638.2
2044 "male" "45-49" 10484.8
2044 "male" "50-54" 10258.8
2044 "male" "55-59" 9771.1
2044 "male" "60-64" 8924
2044 "male" "65-69" 7565.1
2044 "male" "70-74" 5919.4
2044 "male" "75+" 6827.4
2044 "female" "0-4" 10846.2
2044 "female" "5-9" 10869.1
2044 "female" "10-14" 10894.3
2044 "female" "15-19" 10846
2044 "female" "20-24" 10684.8
2044 "female" "25-29" 10628.7
2044 "female" "30-34" 10481.6
2044 "female" "35-39" 10526
2044 "female" "40-44" 10496
2044 "female" "45-49" 10390.9
2044 "female" "50-54" 10151.9
2044 "female" "55-59" 9795
2044 "female" "60-64" 9254.5
2044 "female" "65-69" 8160.9
2044 "female" "70-74" 6714.7
2044 "female" "75+" 8841.2
2045 "male" "0-4" 11116.2
2045 "male" "5-9" 11125
2045 "male" "10-14" 11144.4
2045 "male" "15-19" 11090.3
2045 "male" "20-24" 10901.5
2045 "male" "25-29" 10801.5
2045 "male" "30-34" 10821.3
2045 "male" "35-39" 10808.7
2045 "male" "40-44" 10650.8
2045 "male" "45-49" 10487
2045 "male" "50-54" 10265.8
2045 "male" "55-59" 9800.3
2045 "male" "60-64" 9002.7
2045 "male" "65-69" 7655.8
2045 "male" "70-74" 6026
2045 "male" "75+" 7057.7
2045 "female" "0-4" 10843.5
2045 "female" "5-9" 10861.9
2045 "female" "10-14" 10891.1
2045 "female" "15-19" 10855.7
2045 "female" "20-24" 10703.7
2045 "female" "25-29" 10639.5
2045 "female" "30-34" 10455
2045 "female" "35-39" 10503.5
2045 "female" "40-44" 10494.1
2045 "female" "45-49" 10391.1
2045 "female" "50-54" 10175
2045 "female" "55-59" 9819.6
2045 "female" "60-64" 9325
2045 "female" "65-69" 8257.7
2045 "female" "70-74" 6843.3
2045 "female" "75+" 9146.3
