"year" "sex" "age" "population"
2020 "female" "65-69" 3921.3
2020 "female" "70-74" 2757.1
2020 "female" "75+" 3066.8
2021 "male" "0-4" 11072.1
2021 "male" "5-9" 11179.7
2021 "male" "10-14" 11279.6
2021 "male" "15-19" 11201.6
2021 "male" "20-24" 11066.9
2021 "male" "25-29" 10958.8
2021 "male" "30-34" 10801.4
2021 "male" "35-39" 10538.2
2021 "male" "40-44" 9941.6
2021 "male" "45-49" 9266.4
2021 "male" "50-54" 8183
2021 "male" "55-59" 6830.7
2021 "male" "60-64" 5428.5
2021 "male" "65-69" 3933.8
2021 "male" "70-74" 2602.5
2021 "male" "75+" 2338.7
2021 "female" "0-4" 10819.9
2021 "female" "5-9" 10759.5
2021 "female" "10-14" 10858.4
2021 "female" "15-19" 10938.4
2021 "female" "20-24" 10883.3
2021 "female" "25-29" 10754.3
2021 "female" "30-34" 10546.2
2021 "female" "35-39" 10350.8
2021 "female" "40-44" 9810.8
2021 "female" "45-49" 9148.4
2021 "female" "50-54" 8151
2021 "female" "55-59" 6899.8
2021 "female" "60-64" 5513.6
2021 "female" "65-69" 4107.1
2021 "female" "70-74" 2877.1
2021 "female" "75+" 3206.4
2022 "male" "0-4" 11054.7
2022 "male" "5-9" 11156.4
2022 "male" "10-14" 11259.6
2022 "male" "15-19" 11218
2022 "male" "20-24" 11065.5
2022 "male" "25-29" 10953.2
2022 "male" "30-34" 10821.1
2022 "male" "35-39" 10582.8
2022 "male" "40-44" 10057.9
2022 "male" "45-49" 9374.8
2022 "male" "50-54" 8386.3
2022 "male" "55-59" 7033.6
2022 "male" "60-64" 5612.7
2022 "male" "65-69" 4118.2
2022 "male" "70-74" 2717.9
2022 "male" "75+" 2478.3
2022 "female" "0-4" 10801.5
2022 "female" "5-9" 10782.4
2022 "female" "10-14" 10822.6
2022 "female" "15-19" 10926.6
2022 "female" "20-24" 10879.8
2022 "female" "25-29" 10774.7
2022 "female" "30-34" 10566.4
2022 "female" "35-39" 10375.1
2022 "female" "40-44" 9923.5
2022 "female" "45-49" 9263.7
2022 "female" "50-54" 8347.7
2022 "female" "55-59" 7111.1
2022 "female" "60-64" 5737.1
2022 "female" "65-69" 4301.4
2022 "female" "70-74" 2999.9
2022 "female" "75+" 3354.6
2023 "male" "0-4" 11049.7
2023 "male" "5-9" 11132.6
2023 "male" "10-14" 11233.1
2023 "male" "15-19" 11236.4
2023 "male" "20-24" 11063.6
2023 "male" "25-29" 10947.5
2023 "male" "30-34" 10835.6
2023 "male" "35-39" 10616.3
2023 "male" "40-44" 10172.3
2023 "male" "45-49" 9472.1
2023 "male" "50-54" 8581.1
2023 "male" "55-59" 7231.7
2023 "male" "60-64" 5798.4
2023 "male" "65-69" 4307.6
2023 "male" "70-74" 2835.9
2023 "male" "75+" 2624.2
2023 "female" "0-4" 10795.3
2023 "female" "5-9" 10807.4
2023 "female" "10-14" 10787.1
2023 "female" "15-19" 10906.7
2023 "female" "20-24" 10875.7
2023 "female" "25-29" 10786.8
2023 "female" "30-34" 10591.9
2023 "female" "35-39" 10387
2023 "female" "40-44" 10032.5
2023 "female" "45-49" 9367.4
2023 "female" "50-54" 8534.5
2023 "female" "55-59" 7322.6
2023 "female" "60-64" 5956.4
2023 "female" "65-69" 4502.9
2023 "female" "70-74" 3129
2023 "female" "75+" 3511.1
2024 "male" "0-4" 11057.2
2024 "male" "5-9" 11103.2
2024 "male" "10-14" 11214.3
2024 "male" "15-19" 11240.8
2024 "male" "20-24" 11067.7
2024 "male" "25-29" 10942.2
2024 "male" "30-34" 10844.6
2024 "male" "35-39" 10643.1
2024 "male" "40-44" 10274.9
2024 "male" "45-49" 9568.5
2024 "male" "50-54" 8762.3
2024 "male" "55-59" 7427.9
2024 "male" "60-64" 5984.7
2024 "male" "65-69" 4487.6
2024 "male" "70-74" 2968.9
2024 "male" "75+" 2775.3
2024 "female" "0-4" 10801.2
2024 "female" "5-9" 10823.4
2024 "female" "10-14" 10762.1
2024 "female" "15-19" 10877.6
2024 "female" "20-24" 10874.3
2024 "female" "25-29" 10791
2024 "female" "30-34" 10616.4
2024 "female" "35-39" 10398.8
2024 "female" "40-44" 10125.9
2024 "female" "45-49" 9468.6
2024 "female" "50-54" 8707.4
2024 "female" "55-59" 7530.9
2024 "female" "60-64" 6176.9
2024 "female" "65-69" 4703.8
2024 "female" "70-74" 3268.5
2024 "female" "75+" 3675.2
2025 "male" "0-4" 11076.9
2025 "male" "5-9" 11072.8
2025 "male" "10-14" 11190.2
2025 "male" "15-19" 11235.8
2025 "male" "20-24" 11078.1
2025 "male" "25-29" 10941
2025 "male" "30-34" 10847.5
2025 "male" "35-39" 10668.5
2025 "male" "40-44" 10357.8
2025 "male" "45-49" 9671.5
2025 "male" "50-54" 8907.7
2025 "male" "55-59" 7638
2025 "male" "60-64" 6175.5
2025 "male" "65-69" 4661.9
2025 "male" "70-74" 3107.1
2025 "male" "75+" 2934.5
2025 "female" "0-4" 10819.3
2025 "female" "5-9" 10833.6
2025 "female" "10-14" 10733.5
2025 "female" "15-19" 10852.7
2025 "female" "20-24" 10870.2
2025 "female" "25-29" 10788.6
2025 "female" "30-34" 10637
2025 "female" "35-39" 10420.1
2025 "female" "40-44" 10196.9
2025 "female" "45-49" 9571.7
2025 "female" "50-54" 8864.2
2025 "female" "55-59" 7733.3
2025 "female" "60-64" 6402
2025 "female" "65-69" 4898.9
2025 "female" "70-74" 3421
2025 "female" "75+" 3846.7
2026 "male" "0-4" 11101
2026 "male" "5-9" 11044.5
2026 "male" "10-14" 11164.9
2026 "male" "15-19" 11231.6
2026 "male" "20-24" 11090.4
2026 "male" "25-29" 10938.4
2026 "male" "30-34" 10844
2026 "male" "35-39" 10693.8
2026 "male" "40-44" 10419.6
2026 "male" "45-49" 9782.9
2026 "male" "50-54" 9033.8
2026 "male" "55-59" 7840.5
2026 "male" "60-64" 6364.4
2026 "male" "65-69" 4838.7
2026 "male" "70-74" 3255.7
2026 "male" "75+" 3096.5
2026 "female" "0-4" 10841.5
2026 "female" "5-9" 10803.9
2026 "female" "10-14" 10753.8
2026 "female" "15-19" 10827.1
2026 "female" "20-24" 10859.8
2026 "female" "25-29" 10785.2
2026 "female" "30-34" 10655.7
2026 "female" "35-39" 10442.6
2026 "female" "40-44" 10243.1
2026 "female" "45-49" 9689.8
2026 "female" "50-54" 8988.7
2026 "female" "55-59" 7934.2
2026 "female" "60-64" 6604.7
2026 "female" "65-69" 5112.8
2026 "female" "70-74" 3587.2
2026 "female" "75+" 4025.1
2027 "male" "0-4" 11121.4
2027 "male" "5-9" 11028.2
2027 "male" "10-14" 11141.9
2027 "male" "15-19" 11212.1
2027 "male" "20-24" 11108.1
2027 "male" "25-29" 10938.1
2027 "male" "30-34" 10839.6
2027 "male" "35-39" 10714.7
2027 "male" "40-44" 10465.6
2027 "male" "45-49" 9899.6
2027 "male" "50-54" 9142.2
2027 "male" "55-59" 8039
2027 "male" "60-64" 6557.5
2027 "male" "65-69" 5007
2027 "male" "70-74" 3412.2
2027 "male" "75+" 3261.6
2027 "female" "0-4" 10860.2
2027 "female" "5-9" 10786.3
2027 "female" "10-14" 10777.1
2027 "female" "15-19" 10791.7
2027 "female" "20-24" 10848.7
2027 "female" "25-29" 10782.5
2027 "female" "30-34" 10676.8
2027 "female" "35-39" 10463.7
2027 "female" "40-44" 10268.5
2027 "female" "45-49" 9802.9
2027 "female" "50-54" 9104.3
2027 "female" "55-59" 8128.3
2027 "female" "60-64" 6810.2
2027 "female" "65-69" 5323.8
2027 "female" "70-74" 3760.6
2027 "female" "75+" 4210.9
2028 "male" "0-4" 11138.3
2028 "male" "5-9" 11024.2
2028 "male" "10-14" 11118.7
2028 "male" "15-19" 11186.3
2028 "male" "20-24" 11127
2028 "male" "25-29" 10937.3
2028 "male" "30-34" 10835
2028 "male" "35-39" 10730.3
2028 "male" "40-44" 10500.2
2028 "male" "45-49" 10014.5
2028 "male" "50-54" 9240.2
2028 "male" "55-59" 8229.2
2028 "male" "60-64" 6746.1
2028 "male" "65-69" 5176.7
2028 "male" "70-74" 3572.4
2028 "male" "75+" 3431.6
2028 "female" "0-4" 10875.6
2028 "female" "5-9" 10780.7
2028 "female" "10-14" 10802.3
2028 "female" "15-19" 10756.7
2028 "female" "20-24" 10829.6
2028 "female" "25-29" 10779.1
2028 "female" "30-34" 10689.7
2028 "female" "35-39" 10490
2028 "female" "40-44" 10281.7
2028 "female" "45-49" 9912.2
2028 "female" "50-54" 9208.2
2028 "female" "55-59" 8312.7
2028 "female" "60-64" 7015.9
2028 "female" "65-69" 5530.9
2028 "female" "70-74" 3940.3
2028 "female" "75+" 4406.6
2029 "male" "0-4" 11151.9
2029 "male" "5-9" 11032.6
2029 "male" "10-14" 11089.7
2029 "male" "15-19" 11168.2
2029 "male" "20-24" 11132.1
2029 "male" "25-29" 10942.2
2029 "male" "30-34" 10830.8
2029 "male" "35-39" 10740.5
2029 "male" "40-44" 10528.4
2029 "male" "45-49" 10117.6
2029 "male" "50-54" 9337
2029 "male" "55-59" 8405.9
2029 "male" "60-64" 6932.9
2029 "male" "65-69" 5347.1
2029 "male" "70-74" 3725.2
2029 "male" "75+" 3614.8
2029 "female" "0-4" 10887.7
2029 "female" "5-9" 10787.3
2029 "female" "10-14" 10818.6
2029 "female" "15-19" 10732
2029 "female" "20-24" 10801
2029 "female" "25-29" 10778.5
2029 "female" "30-34" 10694.6
2029 "female" "35-39" 10515.2
2029 "female" "40-44" 10294.6
2029 "female" "45-49" 10006.1
2029 "female" "50-54" 9309.7
2029 "female" "55-59" 8483.7
2029 "female" "60-64" 7218.5
2029 "female" "65-69" 5739
2029 "female" "70-74" 4119.5
2029 "female" "75+" 4615
2030 "male" "0-4" 11162.3
2030 "male" "5-9" 11053.2
2030 "male" "10-14" 11059.7
2030 "male" "15-19" 11144.6
2030 "male" "20-24" 11127.8
2030 "male" "25-29" 10953.5
2030 "male" "30-34" 10830.6
2030 "male" "35-39" 10744.5
2030 "male" "40-44" 10555
2030 "male" "45-49" 10201.1
2030 "male" "50-54" 9440.2
2030 "male" "55-59" 8548.6
2030 "male" "60-64" 7132.9
2030 "male" "65-69" 5521.4
2030 "male" "70-74" 3873.2
2030 "male" "75+" 3806
2030 "female" "0-4" 10896.8
2030 "female" "5-9" 10805.9
2030 "female" "10-14" 10829.1
2030 "female" "15-19" 10703.9
2030 "female" "20-24" 10776.8
2030 "female" "25-29" 10775
2030 "female" "30-34" 10693
2030 "female" "35-39" 10536.5
2030 "female" "40-44" 10316.8
2030 "female" "45-49" 10077.8
2030 "female" "50-54" 9413.1
2030 "female" "55-59" 8638.8
2030 "female" "60-64" 7415.4
2030 "female" "65-69" 5951.2
2030 "female" "70-74" 4293.6
2030 "female" "75+" 4837.8
2031 "male" "0-4" 11169.7
2031 "male" "5-9" 11078
2031 "male" "10-14" 11031.8
2031 "male" "15-19" 11119.8
2031 "male" "20-24" 11124.4
2031 "male" "25-29" 10966.4
2031 "male" "30-34" 10829
2031 "male" "35-39" 10742.1
2031 "male" "40-44" 10581.5
2031 "male" "45-49" 10264
2031 "male" "50-54" 9551.5
2031 "male" "55-59" 8672.6
2031 "male" "60-64" 7325.7
2031 "male" "65-69" 5694.4
2031 "male" "70-74" 4023.6
2031 "male" "75+" 4004.9
2031 "female" "0-4" 10903.2
2031 "female" "5-9" 10828.6
2031 "female" "10-14" 10799.6
2031 "female" "15-19" 10724.5
2031 "female" "20-24" 10751.9
2031 "female" "25-29" 10765.3
2031 "female" "30-34" 10690.2
2031 "female" "35-39" 10555.9
2031 "female" "40-44" 10340.1
2031 "female" "45-49" 10124.7
2031 "female" "50-54" 9531.1
2031 "female" "55-59" 8762.3
2031 "female" "60-64" 7611
2031 "female" "65-69" 6143.2
2031 "female" "70-74" 4485.1
2031 "female" "75+" 5075.2
2032 "male" "0-4" 11174.3
2032 "male" "5-9" 11099.1
2032 "male" "10-14" 11015.9
2032 "male" "15-19" 11097.4
2032 "male" "20-24" 11106
2032 "male" "25-29" 10984.8
2032 "male" "30-34" 10829.3
2032 "male" "35-39" 10738.7
2032 "male" "40-44" 10603.5
2032 "male" "45-49" 10310.9
2032 "male" "50-54" 9667.9
2032 "male" "55-59" 8779.6
2032 "male" "60-64" 7514.5
2032 "male" "65-69" 5870.9
2032 "male" "70-74" 4167
2032 "male" "75+" 4209.9
2032 "female" "0-4" 10906.9
2032 "female" "5-9" 10847.8
2032 "female" "10-14" 10782.2
2032 "female" "15-19" 10748
2032 "female" "20-24" 10717.1
2032 "female" "25-29" 10754.7
2032 "female" "30-34" 10688.3
2032 "female" "35-39" 10577.7
2032 "female" "40-44" 10362
2032 "female" "45-49" 10151.2
2032 "female" "50-54" 9644.1
2032 "female" "55-59" 8877.2
2032 "female" "60-64" 7800.1
2032 "female" "65-69" 6337.6
2032 "female" "70-74" 4673.7
2032 "female" "75+" 5322.1
2033 "male" "0-4" 11176.3
2033 "male" "5-9" 11116.6
2033 "male" "10-14" 11102.2
2033 "male" "15-19" 11074.6
2033 "male" "20-24" 11081
2033 "male" "25-29" 11004.2
2033 "male" "30-34" 10829.4
2033 "male" "35-39" 10735
2033 "male" "40-44" 10620.1
2033 "male" "45-49" 10346.7
2033 "male" "50-54" 9782.4
2033 "male" "55-59" 8876.4
2033 "male" "60-64" 7695.5
2033 "male" "65-69" 6043.2
2033 "male" "70-74" 4311.7
2033 "male" "75+" 4419.4
2033 "female" "0-4" 10907.8
2033 "female" "5-9" 10863.7
2033 "female" "10-14" 10776.9
2033 "female" "15-19" 10773.4
2033 "female" "20-24" 10682.7
2033 "female" "25-29" 10736.3
2033 "female" "30-34" 10685.5
2033 "female" "35-39" 10591.2
2033 "female" "40-44" 10389.1
